Charlson;82;34;46
Murphy;99;26;34
Roger;76;38;60
Mathews;77;31;73
Freeman;55;32;53
Oswald;43;96;95
Howard;56;40;77
Thornton;46;72;62
Oldridge;36;97;67
Otis;28;55;57
Cramer;84;54;60
Haig;24;63;43
Austin;40;49;27
Evans;78;81;96
Barnes;56;68;59
Neal;34;48;99
Sykes;55;38;95
Campbell;34;75;88
Little;52;43;68
Marlow;98;28;62
Albertson;92;59;96
Audley;36;89;80
Hoggarth;80;53;50
Mercer;70;78;34
Francis;88;91;25
Adrian;72;37;32
Conors;81;27;67
Goodman;63;51;56
38.333333333
73.333333333
73.666666667
62.666666667
62.0
41.333333333
72.666666667
45.333333333
83.0
62.333333333
35.333333333
74.666666667
61.333333333
71.333333333
48.0
77.0
45.0
70.0
73.666666667
80.0
65.666666667
72.333333333
74.333333333
49.333333333
33.0
61.666666667
31.666666667
53.0
54.666666667
62.0
51.666666667
52.333333333
59.666666667
52.333333333
59.0
88.666666667
66.333333333
53.666666667
63.333333333
68.0
78.666666667
70.666666667
59.666666667
62.666666667
69.333333333
50.666666667
62.0
34.333333333
51.0
72.0
82.0
69.0
71.666666667
54.333333333
73.333333333
72.0
74.0
38.666666667
53.333333333
47.333333333
59.0
68.0
37.333333333
47.666666667
64.0
50.0
34.666666667
65.666666667
57.666666667
59.0
62.333333333
55.333333333
35.666666667
60.666666667
63.333333333
72.333333333
56.0
61.666666667
78.0
54.0
71.666666667
74.0
58.333333333
52.333333333
68.333333333
59.0
51.666666667
73.0
76.333333333
41.666666667
43.666666667
56.333333333
60.666666667
63.0
58.666666667
64.333333333
64.0
66.0
77.0
70.333333333
54.0
55.666666667
62.0
60.666666667
54.666666667
74.333333333
45.0
66.333333333
68.333333333
45.333333333
53.333333333
36.333333333
58.666666667
34.333333333
76.666666667
69.333333333
49.333333333
48.333333333
67.0
54.333333333
53.333333333
52.0
66.666666667
36.666666667
69.666666667
50.666666667
81.333333333
74.666666667
59.333333333
32.333333333
82.333333333
82.333333333
64.333333333
59.333333333
69.333333333
71.333333333
52.666666667
73.0
56.333333333
63.0
66.666666667
64.333333333
45.333333333
60.333333333
47.666666667
49.0
86.0
45.666666667
61.0
59.333333333
48.666666667
48.666666667
74.666666667
71.333333333
54.0
53.0
58.0
60.333333333
46.666666667
78.0
57.666666667
60.0
66.666666667
46.666666667
66.0
43.333333333
38.666666667
85.0
61.0
60.333333333
62.666666667
65.666666667
54.333333333
62.666666667
82.333333333
68.333333333
61.0
60.666666667
68.0
47.0
58.333333333
56.666666667
58.543956044 61.71978022 60.384615385 
